worker_ref_id,bonus_amount,bonus_date
3329,3518,28:00.4
5954,6429,23:55.5
5909,6850,38:26.2
1478,9587,34:16.6
5005,8255,33:26.0
1820,3941,30:05.9
6638,8535,26:16.8
513,8864,52:03.8
3572,9605,51:47.4
5924,4780,59:07.6
9585,1193,37:45.2
986,1862,18:40.8
1546,7944,31:20.3
3957,1260,05:00.9
3127,3074,04:27.8
7110,9182,19:05.8
8259,4649,56:18.2
1292,6701,38:29.5
6716,8270,37:33.3
7965,1043,51:38.2
9138,3588,03:32.9
3431,6687,38:32.3
2693,6555,45:00.0
7466,6729,27:28.0
3986,6228,35:22.9
5654,8878,52:37.9
6968,8663,44:50.1
3042,4666,36:41.7
7496,1182,36:31.9
9336,1414,26:38.3
7344,8822,26:11.3
3250,7607,25:53.6
4732,2172,56:49.6
9375,2408,53:35.0
5701,4173,13:44.9
1103,5390,45:58.4
5024,4174,11:51.3
3613,6076,22:38.4
9067,2060,33:00.0
5514,6913,56:07.5
1866,6657,38:33.5
368,7100,16:50.5
9283,7383,34:40.3
1552,3234,04:01.7
6557,6593,28:06.5
4094,3298,21:52.8
3648,2382,50:10.9
7191,6062,12:18.3
4304,4133,44:49.1
1859,5138,58:30.8
2874,3441,34:03.7
3901,4781,20:42.2
5825,5809,29:36.8
8181,4963,53:54.6
4529,1784,53:46.9
9445,2777,37:44.1
3364,4715,18:35.6
3818,7518,20:34.8
7997,1024,18:41.4
3691,8651,36:55.9
9992,2817,27:07.8
5658,4667,00:29.4
6483,2152,35:50.3
5348,9562,33:18.6
3383,1330,54:11.4
6889,9860,50:05.8
3488,4193,15:58.9
878,9444,19:46.4
1390,7185,52:19.6
3522,4217,47:42.3
6442,7857,45:55.7
2772,3082,48:18.1
3411,7412,27:54.5
1344,4423,26:48.4
6977,8731,12:15.4
407,8398,54:00.9
9969,1571,59:47.7
2790,2037,07:33.9
8617,3400,24:25.0
6936,9754,03:53.5
6144,7212,55:10.7
5203,5792,17:13.1
5446,4585,07:31.4
8208,9613,51:20.5
1600,6900,02:09.5
2489,8941,13:24.4
938,5590,50:27.9
6769,7949,28:24.2
1917,6599,51:26.0
7444,5484,15:41.9
8192,1604,29:53.2
3762,7917,58:02.9
7398,9727,32:51.3
296,4577,36:16.0
8382,4190,54:01.2
9087,2554,29:43.7
391,9227,30:31.1
4532,7485,16:08.3
5304,3773,31:03.4
3959,3255,28:10.5
811,1546,35:22.3
6514,7979,12:33.6
7230,3339,04:34.8
9362,1998,54:36.2
1518,5242,25:27.7
9176,2965,16:40.3
8187,6585,47:45.8
637,6486,17:25.7
5906,4844,16:05.8
9833,2343,02:13.6
6599,1078,59:59.3
98,4475,59:55.7
7885,3160,03:03.5
2270,6246,17:33.7
6423,8671,34:27.3
2681,6029,33:36.0
9522,5847,23:40.2
4146,3875,09:13.8
1690,1673,55:18.7
2794,3668,29:53.3
8276,7564,45:06.8
2534,9831,57:59.8
9645,7397,34:24.6
5899,3277,19:22.9
7167,4240,55:33.8
979,2553,17:47.9
9049,7393,31:46.4
8819,6596,50:39.5
9681,2578,04:25.7
9600,3389,57:00.4
7662,3096,31:12.2
3440,6778,45:40.6
5046,4290,33:12.9
9721,6001,33:05.8
378,7015,27:17.9
7720,3616,47:42.5
5998,1378,34:47.0
6620,7048,28:37.6
8347,8239,32:40.1
2305,5013,17:35.2
9147,3087,48:00.6
4985,2420,48:25.6
135,9839,13:08.5
8069,7673,48:25.4
2312,4750,08:55.5
8354,3813,46:30.4
2142,9770,27:11.9
1342,5724,26:52.1
5613,7601,53:09.3
245,2474,02:00.2
1928,8549,38:19.1
7805,2599,49:15.6
5795,5094,38:48.1
9393,3782,07:57.4
8759,6700,20:59.8
3159,6276,35:00.6
9887,2398,52:45.7
2954,6088,42:49.4
8629,7543,21:56.8
7104,8659,25:52.8
72,4569,32:04.6
7011,8692,30:49.9
4318,4810,39:36.3
638,1829,19:58.0
9249,6545,13:27.3
5761,3486,59:20.1
8812,2479,43:48.4
8800,2766,58:36.2
8728,1008,23:05.7
8430,4766,42:05.6
444,3678,34:42.2
2444,9300,15:56.1
2744,6597,57:51.8
4867,2104,55:16.3
2415,3183,44:17.8
7957,4373,15:28.8
1846,1907,50:08.9
4322,5437,45:26.9
6609,5623,51:21.4
4703,8757,08:00.1
8612,7572,38:29.6
5785,1483,07:33.4
2907,4431,09:25.6
550,2784,59:47.8
6791,8009,18:36.0
2849,9120,05:55.1
5755,4631,55:19.7
5815,4220,07:10.5
3189,5104,30:36.6
2704,7928,18:30.7
1231,3794,11:46.7
8294,1882,18:23.5
2917,5602,02:20.0
9849,9173,36:37.2
8742,1644,52:41.2
518,7791,15:57.6
2422,4060,28:21.8
6164,8215,54:26.0
3755,7695,50:34.5
7763,1484,56:08.1
7414,1215,01:29.3
9702,1622,00:52.4
3624,4119,37:51.5
6944,2331,55:23.3
218,6412,31:42.6
721,5098,45:42.0
7850,6040,10:20.2
562,7387,13:21.9
3760,5426,07:12.6
7750,6140,06:35.7
656,9806,48:46.5
8331,6821,07:13.4
3390,6449,23:51.0
7613,9071,54:14.8
9912,8198,24:19.4
6772,6791,45:10.3
4027,6762,57:53.9
8966,8697,36:33.0
2810,9496,43:43.0
2250,2582,24:37.8
4718,8696,37:52.7
3370,8564,50:01.0
9037,4869,34:10.4
3725,1116,14:59.7
9376,2303,01:32.4
5745,6923,54:59.4
611,8904,11:52.7
4164,7969,16:00.4
995,6364,24:08.7
6253,7423,47:35.1
5224,6552,49:57.7
5672,2472,55:21.7
6012,1711,05:23.0
1564,6893,56:32.0
4391,1775,18:19.9
5193,5171,03:15.0
746,3155,23:06.8
8895,4265,04:52.7
3441,5465,51:42.2
9076,6572,11:54.3
9996,6698,06:17.0
5334,3231,14:00.1
6704,2391,42:39.2
3281,9396,20:23.6
4769,1412,25:19.1
7669,6027,13:44.8
9369,9433,07:34.6
6516,4389,28:22.3
3607,7049,09:39.4
6422,9581,52:47.6
5248,1887,10:03.6
4392,7331,20:36.9
5341,2033,48:49.8
6838,7337,52:45.5
1514,3098,10:34.9
3973,8402,20:19.1
5042,3555,34:33.4
2272,3426,09:29.6
5302,4947,17:32.6
5200,3240,27:39.0
5676,2954,35:39.4
6188,4933,31:04.3
3141,4516,43:03.8
7395,6099,22:23.4
2128,9286,48:55.7
4893,1618,20:59.3
8874,2488,58:41.7
2593,1495,59:39.1
2901,8791,50:03.9
9674,5287,30:58.8
8511,3010,48:04.5
586,3924,38:53.6
3350,1599,58:55.5
5217,8343,38:12.5
2421,7127,51:29.1
6832,1880,09:37.6
3810,2055,47:11.6
6602,7258,58:34.1
5700,4068,49:49.2
538,4425,37:55.0
9120,9245,28:35.7
3510,8906,37:00.3
26,8914,27:55.8
9164,6220,43:19.1
9214,7910,10:54.9
313,2649,24:36.0
9519,7750,39:05.4
2446,7513,38:06.6
283,1782,16:47.7
2055,6292,11:13.9
1174,6259,07:18.5
3192,6204,44:11.2
5932,9840,05:03.0
9410,7779,11:02.3
3891,3875,37:32.6
218,5661,40:11.8
7157,5945,45:13.2
4075,1139,47:03.1
3152,9011,10:36.0
9507,6025,03:55.0
8675,6307,07:56.0
2075,3738,28:09.1
2138,6562,33:03.7
1231,1293,40:34.1
8119,3884,35:13.9
6107,1974,43:55.3
6734,1371,32:28.6
7759,1539,46:34.1
2970,7658,50:41.4
4719,3250,42:57.7
650,1768,26:13.8
3227,8321,11:17.5
2438,1302,32:31.1
3685,8437,22:53.9
2197,1872,54:03.0
2404,3181,06:32.1
264,7761,56:48.7
1772,4857,24:37.6
6162,3208,08:36.1
1459,9521,01:21.7
1775,7147,47:06.0
8833,8161,33:02.2
1600,6207,46:25.6
8887,8663,39:27.8
5257,9075,27:24.6
3542,3858,23:12.7
6884,5447,31:45.0
6130,1877,15:00.2
9866,9524,45:57.3
3635,9674,57:50.5
9582,2099,57:56.6
5630,4095,20:52.3
8122,7461,37:55.9
5207,3825,12:37.3
2104,5009,37:09.9
3378,4239,25:59.6
1919,3221,46:31.5
9426,6432,47:21.3
4219,6524,52:38.2
7233,7820,00:01.5
80,7812,47:21.4
9439,7286,01:24.7
4156,3178,20:02.0
614,7755,51:43.8
2091,1287,31:17.2
337,3181,43:13.6
4442,3059,34:32.8
611,3487,18:20.2
5825,2952,58:49.2
3548,5033,35:53.8
439,2851,46:44.2
5818,5129,08:03.2
7449,4669,12:30.1
5066,1693,46:52.7
2669,3342,23:43.5
4793,7881,34:52.5
9682,2417,35:51.0
2412,7989,33:48.0
9287,2656,46:25.2
3553,6629,10:27.4
289,7308,10:04.1
6752,6822,21:53.2
37,5418,34:27.1
7552,2924,07:29.7
2056,9322,44:37.0
205,7135,06:17.1
1856,5156,22:48.1
3047,9634,08:53.0
1602,5352,23:43.3
1855,9209,46:42.2
5999,3557,07:43.2
9897,1605,00:36.0
3996,8307,29:04.5
9292,8436,17:02.5
1734,8389,31:40.4
4511,1031,42:57.4
7683,6827,55:25.5
3172,7975,52:54.4
9893,7575,49:17.2
7246,6703,16:33.9
2431,4596,36:37.6
3851,1284,24:15.0
9628,1693,13:29.2
7080,4675,35:39.0
3729,8898,38:03.6
8388,3260,12:13.1
1138,7391,37:40.1
6434,5865,55:56.0
3024,4975,25:17.6
8083,1956,00:56.8
5553,9320,38:27.1
6480,3699,52:19.1
8612,9847,52:23.4
4633,7663,31:27.5
3329,4273,36:26.5
6726,2452,26:20.4
8673,9254,00:34.7
2619,6180,50:58.6
2131,7941,47:49.3
8003,7994,14:34.5
4902,6642,24:57.5
4673,8333,37:31.5
9979,6107,39:43.0
5031,6220,24:14.3
2079,2526,46:43.4
3250,2408,21:12.9
4979,9039,16:54.6
5794,9566,56:54.2
4982,2686,31:22.8
7529,6751,41:20.2
9241,2058,08:52.3
219,9477,31:12.4
2236,5456,04:52.2
8326,4114,26:02.7
6437,8826,06:13.7
4007,7608,12:37.4
1134,4096,02:12.4
8233,2406,58:17.1
3282,6799,17:31.3
965,4038,36:16.0
727,2952,54:51.1
103,1667,41:31.3
4258,9232,45:28.5
5506,2435,40:22.8
1198,7080,13:21.3
3669,1809,10:43.5
8035,6033,45:12.0
68,4068,06:34.0
141,1043,08:54.1
2066,8213,09:59.6
8676,2087,23:21.7
6181,2681,41:22.0
6179,1570,14:09.3
7956,4438,28:02.8
9550,1518,18:30.1
9854,7807,28:24.9
2082,1740,49:39.7
8157,3836,02:46.5
5460,6733,33:42.9
500,1351,34:19.0
1774,2566,43:33.9
2761,8311,22:51.4
344,1738,04:46.9
178,3602,37:42.5
7662,1355,59:24.5
8535,8753,44:55.6
9433,6986,19:49.8
7987,6341,09:54.6
4964,9660,54:34.3
5211,6872,23:09.6
2896,1018,16:54.4
490,6211,03:56.7
9984,8445,41:40.3
9191,6283,03:48.8
7596,6245,11:28.2
2704,3085,02:52.1
3620,1929,27:19.9
7317,4236,20:27.2
9495,2443,58:17.6
4539,2236,12:18.0
8495,5719,13:57.6
4885,2230,35:45.2
6945,5003,31:46.1
9040,8060,15:21.9
7422,6548,19:52.9
6841,4579,29:02.6
7657,5201,16:57.7
8515,8535,58:47.2
810,4294,18:59.0
5801,3751,09:12.2
5024,8124,47:44.1
6551,9429,47:34.3
1762,4098,26:38.4
3237,2061,20:12.0
5965,3752,39:37.5
7698,1828,29:15.5
2381,3544,56:48.7
850,5979,14:07.0
3997,4966,08:00.1
5245,2242,26:13.1
4350,3372,11:49.8
2849,5099,45:14.8
122,9471,52:29.3
6884,8841,13:19.0
7128,6474,45:34.8
467,9956,23:57.3
6888,5458,34:23.7
2390,7141,27:55.9
1037,8301,06:00.9
7982,6673,35:14.7
7473,6162,30:40.5
5447,7861,29:50.0
4754,2652,45:10.8
3893,9781,29:23.3
1447,2620,17:41.6
2984,7131,13:11.3
852,5318,08:49.0
843,5511,01:15.4
1227,2921,40:56.4
1834,7678,14:16.9
991,1587,14:03.0
9249,1108,54:56.8
5621,7788,24:02.2
3452,6942,25:35.1
9953,2124,35:22.5
5091,3706,57:12.7
2336,1895,49:09.3
5306,5744,18:44.3
7993,2512,22:18.3
8781,6287,49:40.5
8185,2687,27:29.4
3426,3472,00:33.2
1560,3864,01:59.9
7151,1794,50:49.1
7359,2639,18:34.5
5961,5566,14:43.4
6675,5486,07:35.2
6255,8934,06:43.7
4997,2003,50:39.9
1591,7458,14:27.1
9773,4492,59:42.9
3208,4759,52:14.2
2064,9061,25:14.4
6743,2375,36:29.5
713,2113,39:53.1
827,4459,01:17.0
3334,4217,53:39.4
9539,6885,15:24.7
3877,4903,02:14.9
2396,7941,19:15.4
2497,2913,18:33.6
4363,8891,05:59.1
572,3525,09:19.2
6155,5891,14:12.6
44,7943,22:30.4
910,6404,39:39.2
5814,2430,04:48.3
9967,1215,26:23.6
4245,7693,20:01.5
4525,5694,32:15.6
9521,2629,13:48.1
6740,3203,29:23.6
9501,8559,40:26.5
1533,2793,21:35.4
4370,3056,22:15.3
5659,9481,24:12.7
2778,2917,29:09.3
1091,3680,26:32.6
7787,1724,38:46.3
4795,3057,56:18.4
6321,9528,51:35.6
1020,5580,30:18.8
276,5701,39:33.6
9035,4673,29:35.2
9614,9608,44:58.5
8994,5338,45:06.9
8009,6403,57:01.4
3918,6913,17:15.2
7040,7153,58:42.5
6903,5606,22:54.5
2228,2204,13:38.6
5940,3454,19:54.6
3968,3529,42:15.8
6804,2155,41:19.6
8946,9067,29:54.8
1289,5516,46:41.1
6108,7348,31:21.3
5299,6315,18:09.7
