worker_ref_id,worker_title,affected_from
5201,Executive,54:34.3
8105,Executive,07:56.8
2500,Lead,45:17.1
1825,Executive,28:14.0
1950,Manager,12:21.4
4002,Lead,44:17.2
9417,Lead,53:54.3
8883,Lead,16:44.7
5271,Manager,04:55.0
9278,Manager,54:54.1
914,Asst. Manager,32:23.9
6228,Director,38:45.6
2656,Manager,58:48.9
3688,Executive,36:52.9
2147,Manager,40:39.2
2773,Executive,42:06.7
649,Executive,54:49.6
8402,Lead,23:29.9
2075,Director,57:40.1
8088,Asst. Manager,08:24.6
2392,Manager,49:54.1
4016,Lead,28:57.9
4085,Asst. Manager,27:27.8
7983,Manager,13:35.8
7151,Lead,53:02.5
750,Executive,56:47.0
1207,Lead,12:30.3
5319,Asst. Manager,31:26.1
836,Manager,32:51.1
4093,Manager,42:00.2
7606,Asst. Manager,32:11.1
7873,Director,59:08.7
8270,Lead,52:11.2
3630,Asst. Manager,16:08.8
113,Asst. Manager,01:41.3
3465,Lead,35:30.1
4235,Lead,28:42.5
9809,Director,26:48.5
9972,Lead,46:35.5
8279,Manager,06:26.1
9941,Asst. Manager,18:07.4
6403,Director,10:52.2
577,Lead,47:56.2
8829,Director,32:42.3
8524,Asst. Manager,23:21.0
979,Lead,24:18.3
9556,Asst. Manager,07:23.8
4132,Asst. Manager,49:35.3
3625,Executive,35:16.6
1052,Manager,06:09.5
5229,Manager,25:16.9
6788,Director,28:01.3
6403,Manager,19:56.8
241,Director,42:11.5
659,Asst. Manager,00:18.9
4963,Asst. Manager,43:50.9
541,Manager,04:12.8
2849,Manager,48:43.8
4695,Director,45:59.3
8117,Director,29:13.4
226,Manager,08:59.7
6013,Executive,35:35.2
8226,Lead,26:41.1
9753,Lead,41:15.9
2536,Executive,57:56.0
318,Lead,49:14.4
9750,Manager,33:17.4
883,Asst. Manager,38:30.4
7016,Manager,12:30.5
2583,Asst. Manager,23:19.1
8760,Director,10:59.0
7713,Lead,28:47.4
9416,Director,33:07.0
2774,Asst. Manager,36:22.1
2812,Director,02:34.0
2754,Asst. Manager,53:11.5
2465,Director,02:06.7
2797,Lead,25:18.9
9484,Director,04:46.4
7090,Lead,41:07.9
7573,Asst. Manager,56:04.1
9609,Executive,22:19.6
2175,Executive,37:33.8
9971,Asst. Manager,17:23.4
100,Lead,14:09.3
9912,Manager,20:53.0
751,Executive,29:20.7
3439,Lead,23:01.9
1907,Director,57:27.3
587,Executive,30:05.6
6028,Director,27:14.0
6373,Executive,16:22.1
2448,Executive,39:58.9
9242,Director,43:49.6
4665,Executive,23:43.6
2849,Director,19:30.1
6602,Lead,18:00.6
5837,Manager,47:23.4
6757,Asst. Manager,51:31.1
6549,Manager,26:17.0
5751,Lead,59:39.0
918,Lead,03:24.7
2379,Asst. Manager,03:27.8
929,Asst. Manager,14:12.6
8017,Manager,37:50.9
44,Lead,19:04.1
8952,Director,47:13.1
5448,Manager,19:28.1
5166,Executive,55:02.8
852,Asst. Manager,57:57.9
9554,Manager,20:14.4
8906,Asst. Manager,40:27.4
897,Director,09:41.2
7956,Executive,02:51.1
5044,Manager,06:36.7
1019,Director,31:03.7
9158,Manager,15:27.6
4149,Manager,09:38.2
2118,Director,14:01.4
3018,Manager,34:12.7
5979,Asst. Manager,30:13.2
1313,Executive,09:20.8
195,Asst. Manager,05:25.2
4935,Lead,51:02.2
2465,Manager,00:20.1
3219,Executive,04:19.1
5781,Asst. Manager,29:19.0
5938,Executive,28:01.2
9420,Manager,17:41.8
1490,Asst. Manager,45:57.6
1021,Manager,20:16.5
6041,Manager,12:53.6
1111,Executive,33:10.4
2911,Executive,06:41.2
8401,Manager,11:47.8
5203,Asst. Manager,51:05.1
5975,Lead,40:14.8
423,Lead,14:11.2
5117,Director,31:14.2
6746,Asst. Manager,59:58.4
9278,Director,55:41.5
8918,Lead,13:07.6
3031,Asst. Manager,12:46.3
4400,Manager,07:28.9
2510,Executive,21:51.7
4598,Asst. Manager,35:42.5
7553,Executive,11:26.3
5865,Manager,34:57.6
7974,Lead,28:54.5
6288,Manager,50:20.7
174,Manager,56:29.4
8776,Manager,23:08.5
4165,Executive,29:06.1
5421,Executive,55:59.2
7533,Asst. Manager,11:04.8
3264,Executive,00:33.7
750,Executive,36:08.9
9618,Manager,08:21.0
4281,Lead,32:59.5
8852,Executive,59:20.2
9113,Executive,47:42.5
1939,Lead,11:17.8
797,Asst. Manager,48:46.8
9217,Asst. Manager,15:38.8
5915,Lead,49:38.9
2481,Director,16:39.7
813,Lead,12:37.6
6265,Executive,28:52.8
6684,Director,55:15.3
7558,Director,42:05.0
9632,Manager,01:30.5
9537,Director,48:30.0
321,Manager,10:27.3
4210,Manager,05:06.4
4731,Director,59:24.8
1379,Director,54:13.0
5471,Manager,47:16.4
1726,Executive,36:59.9
7043,Asst. Manager,17:04.3
1273,Executive,49:59.2
3471,Asst. Manager,59:46.4
3628,Asst. Manager,09:01.6
3696,Lead,40:49.1
9627,Lead,09:09.1
6845,Asst. Manager,23:22.7
5678,Asst. Manager,41:01.5
3046,Manager,20:12.6
9568,Director,43:37.7
8973,Lead,50:03.3
1845,Director,43:16.8
7422,Director,47:36.6
1054,Lead,38:20.0
5958,Executive,30:09.9
4622,Manager,06:23.0
5124,Manager,40:23.1
2949,Executive,28:22.8
9224,Director,11:53.1
5370,Asst. Manager,12:25.5
4454,Manager,04:17.2
4721,Executive,20:11.9
9868,Executive,36:51.5
9564,Lead,53:54.8
4980,Director,50:44.3
1395,Manager,58:50.3
3496,Director,36:23.6
615,Asst. Manager,35:59.2
2918,Director,23:44.4
70,Lead,39:40.1
5645,Executive,55:38.4
1118,Asst. Manager,56:49.4
1920,Director,34:08.8
7779,Lead,38:25.0
7251,Director,20:36.8
1507,Lead,31:40.1
3305,Executive,51:53.0
8596,Asst. Manager,58:19.6
876,Lead,57:43.6
7192,Lead,18:54.2
7148,Asst. Manager,56:19.4
1823,Manager,28:04.6
3484,Director,56:02.4
3480,Lead,23:57.6
1345,Manager,44:24.5
6573,Asst. Manager,33:01.6
7719,Asst. Manager,20:15.7
6542,Manager,12:20.9
9085,Manager,19:58.6
1086,Asst. Manager,57:45.0
7248,Asst. Manager,25:32.8
7744,Manager,05:43.5
9457,Asst. Manager,56:35.7
1406,Manager,08:02.4
3720,Lead,57:50.1
1434,Executive,31:27.7
3704,Director,09:04.7
5295,Lead,21:48.3
4805,Asst. Manager,53:12.7
5339,Asst. Manager,25:46.2
7581,Lead,44:36.6
9516,Executive,26:25.0
3355,Asst. Manager,32:57.8
4501,Manager,58:43.8
9136,Lead,26:47.9
8469,Manager,30:19.5
3383,Asst. Manager,51:11.2
3590,Manager,15:17.4
8441,Lead,46:29.9
6135,Asst. Manager,16:40.0
4302,Director,29:44.8
9532,Lead,50:21.3
957,Asst. Manager,50:37.5
8678,Lead,40:55.7
8271,Executive,32:23.0
6522,Lead,32:08.8
3488,Executive,17:30.5
819,Manager,32:13.2
309,Manager,47:28.1
9784,Lead,12:29.9
6188,Lead,55:19.7
1486,Executive,37:05.0
4672,Executive,35:48.3
730,Lead,33:04.5
3563,Executive,37:02.8
8004,Manager,35:11.5
8091,Manager,32:02.3
5761,Manager,29:32.6
7205,Asst. Manager,25:26.5
6488,Director,29:36.5
4556,Asst. Manager,18:48.3
1528,Lead,35:54.1
8776,Lead,23:54.5
431,Asst. Manager,45:47.5
1056,Executive,45:18.5
8506,Lead,58:17.8
2974,Executive,54:57.0
9647,Manager,42:44.8
997,Lead,35:18.0
65,Manager,03:05.9
8036,Executive,13:33.4
8075,Manager,23:09.5
2768,Executive,03:28.3
2757,Executive,34:02.2
6899,Executive,49:01.3
6487,Manager,31:39.2
8757,Asst. Manager,37:20.6
2137,Executive,25:10.7
7674,Executive,00:03.4
4665,Asst. Manager,35:45.6
7064,Asst. Manager,44:41.4
4027,Director,05:45.6
538,Executive,46:09.9
9426,Director,54:02.8
6207,Asst. Manager,45:04.0
7973,Lead,33:23.7
360,Executive,54:57.1
308,Asst. Manager,30:22.6
1230,Manager,03:58.5
2983,Executive,10:55.1
8451,Asst. Manager,49:56.3
4480,Director,53:57.8
1750,Asst. Manager,23:28.0
9004,Asst. Manager,47:23.2
899,Executive,10:43.5
4866,Executive,49:10.9
6692,Director,55:33.2
1763,Executive,15:28.7
9065,Manager,29:58.4
9360,Manager,36:18.2
821,Executive,06:49.3
657,Lead,55:13.7
8423,Executive,26:14.4
116,Executive,12:39.5
899,Asst. Manager,14:37.8
5275,Executive,02:58.7
751,Manager,24:38.4
9929,Director,35:57.2
7758,Lead,45:25.3
96,Executive,55:18.8
4052,Executive,19:37.8
1256,Director,02:07.0
3019,Manager,41:33.8
8403,Director,44:39.8
1519,Director,24:19.5
8242,Executive,44:53.0
